French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
compris,including
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
train,train
endroit,in law
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,pretty
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
